timestamp,true_label,predicted_label,max_probability,is_intrusion
2026-01-06 17:28:53.708606,4,4,1.0,1
2026-01-06 17:28:54.708606,1,1,0.9,1
2026-01-06 17:28:55.708606,1,4,0.68,1
2026-01-06 17:28:56.708606,4,4,1.0,1
2026-01-06 17:28:57.708606,4,4,0.98,1
2026-01-06 17:28:58.708606,2,4,0.91,1
2026-01-06 17:28:59.708606,4,4,1.0,1
2026-01-06 17:29:00.708606,2,4,0.9,1
2026-01-06 17:29:01.708606,1,4,0.73,1
2026-01-06 17:29:02.708606,4,4,0.97,1
2026-01-06 17:29:05.708606,4,4,1.0,1
2026-01-06 17:29:06.708606,4,4,1.0,1
2026-01-06 17:29:07.708606,4,4,1.0,1
2026-01-06 17:29:08.708606,4,4,1.0,1
2026-01-06 17:29:09.708606,4,4,0.83,1
2026-01-06 17:29:13.708606,4,4,1.0,1
2026-01-06 17:29:14.708606,4,4,1.0,1
2026-01-06 17:29:17.708606,4,4,1.0,1
2026-01-06 17:29:18.708606,4,4,1.0,1
2026-01-06 17:29:20.708606,4,4,0.8,1
2026-01-06 17:29:22.708606,4,4,1.0,1
2026-01-06 17:29:23.708606,4,4,1.0,1
2026-01-06 17:29:24.708606,4,1,0.98,1
2026-01-06 17:29:25.708606,1,1,1.0,1
2026-01-06 17:29:26.708606,1,4,0.61,1
2026-01-06 17:29:27.708606,4,4,1.0,1
2026-01-06 17:29:28.708606,0,4,0.73,1
2026-01-06 17:29:29.708606,4,4,1.0,1
2026-01-06 17:29:30.708606,4,4,1.0,1
2026-01-06 17:29:32.708606,4,4,1.0,1
2026-01-06 17:29:33.708606,4,4,1.0,1
2026-01-06 17:29:34.708606,4,4,1.0,1
2026-01-06 17:29:36.708606,4,4,1.0,1
2026-01-06 17:29:40.708606,4,4,0.79,1
2026-01-06 17:29:41.708606,4,4,1.0,1
2026-01-06 17:29:42.708606,4,4,1.0,1
2026-01-06 17:29:45.708606,2,4,0.81,1
2026-01-06 17:29:46.708606,4,4,1.0,1
2026-01-06 17:29:48.708606,2,4,1.0,1
2026-01-06 17:29:49.708606,0,4,0.78,1
2026-01-06 17:29:50.708606,4,4,1.0,1
2026-01-06 17:29:51.708606,2,4,0.95,1
2026-01-06 17:29:52.708606,2,4,0.71,1
2026-01-06 17:29:53.708606,4,4,1.0,1
2026-01-06 17:29:54.708606,4,4,1.0,1
2026-01-06 17:29:55.708606,1,1,1.0,1
2026-01-06 17:29:56.708606,4,4,1.0,1
2026-01-06 17:29:57.708606,1,4,0.55,1
2026-01-06 17:30:00.708606,4,4,1.0,1
2026-01-06 17:30:02.708606,4,4,0.91,1
2026-01-06 17:30:03.708606,4,4,1.0,1
2026-01-06 17:30:04.708606,4,4,1.0,1
2026-01-06 17:30:06.708606,4,4,1.0,1
2026-01-06 17:30:07.708606,4,4,1.0,1
2026-01-06 17:30:08.708606,0,4,0.77,1
2026-01-06 17:30:09.708606,4,4,1.0,1
2026-01-06 17:30:10.708606,4,4,1.0,1
2026-01-06 17:30:14.708606,4,4,1.0,1
2026-01-06 17:30:15.708606,4,4,1.0,1
2026-01-06 17:30:16.708606,4,4,1.0,1
2026-01-06 17:30:18.708606,1,4,0.56,1
2026-01-06 17:30:19.708606,4,4,1.0,1
2026-01-06 17:30:20.708606,4,4,1.0,1
2026-01-06 17:30:21.708606,4,4,1.0,1
2026-01-06 17:30:22.708606,4,4,1.0,1
2026-01-06 17:30:24.708606,2,4,0.83,1
2026-01-06 17:30:25.708606,2,4,0.96,1
2026-01-06 17:30:26.708606,4,4,0.79,1
2026-01-06 17:30:27.708606,4,4,1.0,1
2026-01-06 17:30:28.708606,4,4,1.0,1
2026-01-06 17:30:29.708606,1,1,0.93,1
2026-01-06 17:30:31.708606,1,1,0.98,1
2026-01-06 17:30:32.708606,2,4,0.91,1
2026-01-06 17:30:35.708606,4,4,1.0,1
2026-01-06 17:30:37.708606,3,4,0.72,1
2026-01-06 17:30:38.708606,4,4,1.0,1
2026-01-06 17:30:40.708606,4,4,1.0,1
2026-01-06 17:30:41.708606,4,4,1.0,1
2026-01-06 17:30:43.708606,0,4,0.77,1
2026-01-06 17:30:44.708606,0,4,0.78,1
2026-01-06 17:30:45.708606,4,4,1.0,1
2026-01-06 17:30:47.708606,4,4,1.0,1
2026-01-06 17:30:50.708606,2,4,0.83,1
2026-01-06 17:30:51.708606,4,4,1.0,1
2026-01-06 17:30:53.708606,1,1,0.94,1
2026-01-06 17:30:55.708606,4,4,0.98,1
2026-01-06 17:30:56.708606,4,4,1.0,1
2026-01-06 17:30:57.708606,2,4,0.91,1
2026-01-06 17:30:59.708606,4,4,1.0,1
2026-01-06 17:31:00.708606,4,4,1.0,1
2026-01-06 17:31:01.708606,4,4,1.0,1
2026-01-06 17:31:02.708606,4,4,1.0,1
2026-01-06 17:31:03.708606,0,4,0.75,1
2026-01-06 17:31:04.708606,4,4,1.0,1
2026-01-06 17:31:05.708606,0,4,0.73,1
2026-01-06 17:31:06.708606,4,4,1.0,1
2026-01-06 17:31:08.708606,2,4,0.95,1
2026-01-06 17:31:09.708606,1,4,0.62,1
2026-01-06 17:31:10.708606,4,4,1.0,1
2026-01-06 17:31:11.708606,4,4,1.0,1
2026-01-06 17:31:12.708606,4,4,1.0,1
2026-01-06 17:31:16.708606,1,1,1.0,1
2026-01-06 17:31:19.708606,4,4,1.0,1
2026-01-06 17:31:20.708606,0,4,0.75,1
2026-01-06 17:31:21.708606,2,4,0.83,1
2026-01-06 17:31:24.708606,0,4,0.91,1
2026-01-06 17:31:25.708606,4,4,1.0,1
2026-01-06 17:31:27.708606,0,1,0.51,1
2026-01-06 17:31:33.708606,1,1,1.0,1
2026-01-06 17:31:35.708606,2,4,0.74,1
2026-01-06 17:31:38.708606,2,4,0.69,1
2026-01-06 17:31:39.708606,4,4,1.0,1
2026-01-06 17:31:41.708606,0,4,0.85,1
2026-01-06 17:31:42.708606,4,4,1.0,1
2026-01-06 17:31:46.708606,4,4,1.0,1
2026-01-06 17:31:47.708606,1,1,1.0,1
2026-01-06 17:31:48.708606,1,1,1.0,1
2026-01-06 17:31:49.708606,2,4,0.93,1
2026-01-06 17:31:50.708606,4,4,1.0,1
2026-01-06 17:31:52.708606,4,4,1.0,1
2026-01-06 17:31:53.708606,4,4,1.0,1
2026-01-06 17:31:54.708606,4,4,1.0,1
2026-01-06 17:31:55.708606,4,4,1.0,1
2026-01-06 17:31:56.708606,2,4,0.93,1
2026-01-06 17:31:59.708606,4,4,1.0,1
2026-01-06 17:32:01.708606,4,4,1.0,1
2026-01-06 17:32:02.708606,0,4,0.85,1
2026-01-06 17:32:04.708606,4,4,1.0,1
2026-01-06 17:32:05.708606,4,4,1.0,1
2026-01-06 17:32:06.708606,4,4,1.0,1
2026-01-06 17:32:07.708606,4,4,0.69,1
2026-01-06 17:32:08.708606,2,4,0.83,1
2026-01-06 17:32:10.708606,2,4,1.0,1
2026-01-06 17:32:11.708606,1,4,0.71,1
2026-01-06 17:32:12.708606,4,4,1.0,1
2026-01-06 17:32:13.708606,0,4,0.53,1
2026-01-06 17:32:14.708606,4,4,1.0,1
2026-01-06 17:32:15.708606,4,4,1.0,1
2026-01-06 17:32:16.708606,1,1,1.0,1
2026-01-06 17:32:18.708606,0,4,0.71,1
2026-01-06 17:32:19.708606,4,4,1.0,1
2026-01-06 17:32:20.708606,4,4,1.0,1
2026-01-06 17:32:22.708606,2,4,0.79,1
2026-01-06 17:32:23.708606,4,4,1.0,1
2026-01-06 17:32:24.708606,4,4,1.0,1
2026-01-06 17:32:25.708606,4,4,0.93,1
2026-01-06 17:32:27.708606,4,4,1.0,1
2026-01-06 17:32:28.708606,4,4,0.98,1
2026-01-06 17:32:29.708606,4,4,1.0,1
2026-01-06 17:32:30.708606,2,4,0.9,1
2026-01-06 17:32:31.708606,4,4,1.0,1
2026-01-06 17:32:32.708606,4,4,1.0,1
2026-01-06 17:32:33.708606,4,4,0.82,1
2026-01-06 17:32:35.708606,4,4,1.0,1
2026-01-06 17:32:37.708606,4,4,1.0,1
2026-01-06 17:32:39.708606,4,4,1.0,1
2026-01-06 17:32:40.708606,4,4,1.0,1
2026-01-06 17:32:41.708606,4,4,0.78,1
2026-01-06 17:32:42.708606,1,4,0.83,1
2026-01-06 17:32:43.708606,2,4,0.97,1
2026-01-06 17:32:44.708606,4,4,1.0,1
2026-01-06 17:32:47.708606,0,4,0.8,1
2026-01-06 17:32:48.708606,4,4,0.81,1
2026-01-06 17:32:50.708606,1,4,0.79,1
2026-01-06 17:32:51.708606,4,4,1.0,1
2026-01-06 17:32:52.708606,4,4,1.0,1
2026-01-06 17:32:53.708606,0,4,0.7,1
2026-01-06 17:32:56.708606,4,4,0.99,1
2026-01-06 17:32:57.708606,2,4,0.8,1
2026-01-06 17:33:00.708606,4,4,1.0,1
2026-01-06 17:33:01.708606,4,4,1.0,1
2026-01-06 17:33:02.708606,4,4,1.0,1
2026-01-06 17:33:03.708606,2,4,0.99,1
2026-01-06 17:33:04.708606,4,4,1.0,1
2026-01-06 17:33:06.708606,1,1,1.0,1
2026-01-06 17:33:08.708606,4,4,1.0,1
2026-01-06 17:33:09.708606,2,4,0.77,1
2026-01-06 17:33:10.708606,4,4,1.0,1
2026-01-06 17:33:11.708606,4,4,1.0,1
2026-01-06 17:33:12.708606,2,4,0.99,1
2026-01-06 17:33:13.708606,4,4,1.0,1
2026-01-06 17:33:17.708606,2,4,0.9,1
2026-01-06 17:33:18.708606,4,4,1.0,1
2026-01-06 17:33:19.708606,4,4,1.0,1
2026-01-06 17:33:20.708606,1,1,1.0,1
2026-01-06 17:33:22.708606,4,4,1.0,1
2026-01-06 17:33:24.708606,1,1,1.0,1
2026-01-06 17:33:26.708606,4,4,0.8,1
2026-01-06 17:33:27.708606,1,4,0.84,1
2026-01-06 17:33:28.708606,4,4,1.0,1
2026-01-06 17:33:31.708606,4,4,0.8,1
2026-01-06 17:33:32.708606,2,4,0.92,1
2026-01-06 17:33:33.708606,2,4,0.82,1
2026-01-06 17:33:36.708606,4,4,1.0,1
2026-01-06 17:33:37.708606,2,4,0.83,1
2026-01-06 17:33:39.708606,4,4,1.0,1
2026-01-06 17:33:40.708606,0,4,0.63,1
2026-01-06 17:33:41.708606,4,4,1.0,1
2026-01-06 17:33:42.708606,2,1,0.51,1
2026-01-06 17:33:43.708606,1,4,0.74,1
2026-01-06 17:33:44.708606,4,4,1.0,1
2026-01-06 17:33:45.708606,4,4,1.0,1
2026-01-06 17:33:46.708606,4,4,0.79,1
2026-01-06 17:33:47.708606,1,4,0.41,1
2026-01-06 17:33:48.708606,4,4,1.0,1
2026-01-06 17:33:50.708606,4,4,1.0,1
2026-01-06 17:33:53.708606,4,4,1.0,1
2026-01-06 17:33:54.708606,2,4,0.95,1
2026-01-06 17:33:55.708606,4,4,0.8,1
2026-01-06 17:33:56.708606,4,4,1.0,1
2026-01-06 17:33:57.708606,1,1,1.0,1
2026-01-06 17:33:58.708606,2,4,0.7,1
2026-01-06 17:34:01.708606,1,1,1.0,1
2026-01-06 17:34:02.708606,4,4,1.0,1
2026-01-06 17:34:03.708606,4,4,0.79,1
2026-01-06 17:34:04.708606,4,4,1.0,1
2026-01-06 17:34:05.708606,4,4,1.0,1
2026-01-06 17:34:07.708606,2,4,0.96,1
2026-01-06 17:34:08.708606,4,4,1.0,1
2026-01-06 17:34:10.708606,4,4,1.0,1
2026-01-06 17:34:11.708606,4,4,1.0,1
2026-01-06 17:34:12.708606,4,4,1.0,1
2026-01-06 17:34:13.708606,4,4,1.0,1
2026-01-06 17:34:15.708606,4,4,1.0,1
2026-01-06 17:34:16.708606,2,2,0.55,1
2026-01-06 17:34:18.708606,2,4,0.93,1
2026-01-06 17:34:19.708606,1,4,0.59,1
2026-01-06 17:34:22.708606,4,4,0.58,1
2026-01-06 17:34:24.708606,4,4,0.98,1
2026-01-06 17:34:26.708606,4,4,1.0,1
2026-01-06 17:34:27.708606,4,4,1.0,1
2026-01-06 17:34:28.708606,4,4,0.81,1
2026-01-06 17:34:30.708606,1,1,0.93,1
2026-01-06 17:34:31.708606,1,1,0.38,1
2026-01-06 17:34:32.708606,0,4,0.71,1
2026-01-06 17:34:33.708606,4,4,1.0,1
2026-01-06 17:34:34.708606,4,4,1.0,1
2026-01-06 17:34:36.708606,1,1,0.95,1
2026-01-06 17:34:37.708606,1,4,0.62,1
2026-01-06 17:34:38.708606,1,1,0.89,1
2026-01-06 17:34:39.708606,0,4,0.74,1
2026-01-06 17:34:40.708606,4,4,1.0,1
2026-01-06 17:34:43.708606,2,4,0.93,1
2026-01-06 17:34:44.708606,4,4,1.0,1
2026-01-06 17:34:45.708606,4,4,1.0,1
2026-01-06 17:34:46.708606,2,4,0.96,1
2026-01-06 17:34:47.708606,4,4,1.0,1
2026-01-06 17:34:48.708606,4,4,1.0,1
2026-01-06 17:34:49.708606,4,4,0.78,1
2026-01-06 17:34:51.708606,4,4,1.0,1
2026-01-06 17:34:52.708606,4,4,1.0,1
2026-01-06 17:34:54.708606,4,4,1.0,1
2026-01-06 17:34:55.708606,4,4,1.0,1
2026-01-06 17:34:56.708606,4,4,1.0,1
2026-01-06 17:34:57.708606,4,4,0.81,1
2026-01-06 17:34:58.708606,1,1,1.0,1
2026-01-06 17:34:59.708606,4,4,1.0,1
2026-01-06 17:35:00.708606,2,4,0.93,1
2026-01-06 17:35:01.708606,4,4,1.0,1
2026-01-06 17:35:04.708606,4,4,1.0,1
2026-01-06 17:35:05.708606,4,4,1.0,1
2026-01-06 17:35:07.708606,2,4,0.91,1
2026-01-06 17:35:08.708606,2,4,0.95,1
2026-01-06 17:35:10.708606,4,4,0.8,1
2026-01-06 17:35:11.708606,4,4,1.0,1
2026-01-06 17:35:12.708606,0,1,0.54,1
2026-01-06 17:35:14.708606,0,4,0.75,1
2026-01-06 17:35:15.708606,4,4,1.0,1
2026-01-06 17:35:16.708606,4,4,1.0,1
2026-01-06 17:35:18.708606,4,4,1.0,1
2026-01-06 17:35:19.708606,4,4,0.97,1
2026-01-06 17:35:20.708606,4,4,0.98,1
2026-01-06 17:35:21.708606,0,4,0.88,1
2026-01-06 17:35:22.708606,4,4,1.0,1
2026-01-06 17:35:24.708606,1,1,1.0,1
2026-01-06 17:35:25.708606,4,4,1.0,1
2026-01-06 17:35:26.708606,4,4,1.0,1
2026-01-06 17:35:28.708606,4,4,1.0,1
2026-01-06 17:35:29.708606,4,4,1.0,1
2026-01-06 17:35:30.708606,4,4,0.81,1
2026-01-06 17:35:32.708606,4,4,1.0,1
