timestamp,sample_index,predicted_attack_type
2026-01-07 14:35:42,2,4
2026-01-07 14:35:42,3,1
2026-01-07 14:35:42,4,4
2026-01-07 14:35:42,5,4
2026-01-07 14:35:42,6,4
2026-01-07 14:35:42,7,4
2026-01-07 14:35:42,11,4
2026-01-07 14:35:42,12,4
2026-01-07 14:35:42,13,4
2026-01-07 14:35:42,14,1
2026-01-07 14:35:42,22,4
2026-01-07 14:35:42,25,4
2026-01-07 14:35:42,27,1
2026-01-07 14:35:42,28,4
2026-01-07 14:35:42,29,4
2026-01-07 14:35:42,31,4
2026-01-07 14:35:42,34,4
2026-01-07 14:35:42,35,4
2026-01-07 14:35:42,36,4
2026-01-07 14:35:42,37,4
2026-01-07 14:35:42,38,4
2026-01-07 14:35:42,39,4
2026-01-07 14:35:42,40,4
2026-01-07 14:35:42,42,1
2026-01-07 14:35:42,46,1
2026-01-07 14:35:42,47,4
2026-01-07 14:35:42,48,1
2026-01-07 14:35:42,51,4
2026-01-07 14:35:42,52,1
2026-01-07 14:35:42,53,4
2026-01-07 14:35:42,55,4
2026-01-07 14:35:42,56,1
2026-01-07 14:35:42,58,4
2026-01-07 14:35:42,59,4
2026-01-07 14:35:42,63,4
2026-01-07 14:35:42,66,4
2026-01-07 14:35:42,67,4
2026-01-07 14:35:42,68,4
2026-01-07 14:35:42,69,4
2026-01-07 14:35:42,72,4
2026-01-07 14:35:42,73,4
2026-01-07 14:35:42,75,1
2026-01-07 14:35:42,76,1
2026-01-07 14:35:42,78,4
2026-01-07 14:35:42,83,4
2026-01-07 14:35:42,84,4
2026-01-07 14:35:42,85,4
2026-01-07 14:35:42,86,4
2026-01-07 14:35:42,87,4
2026-01-07 14:35:42,88,1
2026-01-07 14:35:42,90,4
2026-01-07 14:35:42,92,1
2026-01-07 14:35:42,94,1
2026-01-07 14:35:42,97,4
2026-01-07 14:35:42,98,4
2026-01-07 14:35:42,99,4
2026-01-07 14:35:42,100,4
2026-01-07 14:35:42,101,4
2026-01-07 14:35:42,103,4
2026-01-07 14:35:42,104,4
2026-01-07 14:35:42,105,4
2026-01-07 14:35:42,106,4
2026-01-07 14:35:42,108,4
2026-01-07 14:35:42,110,4
2026-01-07 14:35:42,111,1
2026-01-07 14:35:42,112,4
2026-01-07 14:35:42,113,4
2026-01-07 14:35:42,114,4
2026-01-07 14:35:42,115,4
2026-01-07 14:35:42,118,4
2026-01-07 14:35:42,119,4
2026-01-07 14:35:42,122,4
2026-01-07 14:35:42,123,4
2026-01-07 14:35:42,124,4
2026-01-07 14:35:42,128,4
2026-01-07 14:35:42,131,4
2026-01-07 14:35:42,132,4
2026-01-07 14:35:42,133,4
2026-01-07 14:35:42,135,4
2026-01-07 14:35:42,138,4
2026-01-07 14:35:42,139,4
2026-01-07 14:35:42,140,4
2026-01-07 14:35:42,144,4
2026-01-07 14:35:42,145,4
2026-01-07 14:35:42,146,4
2026-01-07 14:35:42,147,4
2026-01-07 14:35:42,154,1
2026-01-07 14:35:42,155,1
2026-01-07 14:35:42,159,4
2026-01-07 14:35:42,161,4
2026-01-07 14:35:42,162,1
2026-01-07 14:35:42,163,4
2026-01-07 14:35:42,164,4
2026-01-07 14:35:42,165,4
2026-01-07 14:35:42,167,4
2026-01-07 14:35:42,168,4
2026-01-07 14:35:42,171,4
2026-01-07 14:35:42,172,1
2026-01-07 14:35:42,173,4
2026-01-07 14:35:42,174,4
2026-01-07 14:35:42,176,4
2026-01-07 14:35:42,178,4
2026-01-07 14:35:42,179,4
2026-01-07 14:35:42,181,4
2026-01-07 14:35:42,182,4
2026-01-07 14:35:42,184,4
2026-01-07 14:35:42,186,4
2026-01-07 14:35:42,188,1
2026-01-07 14:35:42,189,4
2026-01-07 14:35:42,191,1
2026-01-07 14:35:42,193,4
2026-01-07 14:35:42,194,4
2026-01-07 14:35:42,197,4
2026-01-07 14:35:42,198,4
2026-01-07 14:35:42,204,4
2026-01-07 14:35:42,205,4
2026-01-07 14:35:42,206,4
2026-01-07 14:35:42,207,4
2026-01-07 14:35:42,208,4
2026-01-07 14:35:42,209,4
2026-01-07 14:35:42,211,4
2026-01-07 14:35:42,212,4
2026-01-07 14:35:42,213,4
2026-01-07 14:35:42,214,4
2026-01-07 14:35:42,215,1
2026-01-07 14:35:42,217,4
2026-01-07 14:35:42,218,4
2026-01-07 14:35:42,219,4
2026-01-07 14:35:42,220,4
2026-01-07 14:35:42,221,4
2026-01-07 14:35:42,224,4
2026-01-07 14:35:42,227,4
2026-01-07 14:35:42,228,4
2026-01-07 14:35:42,230,1
2026-01-07 14:35:42,232,4
2026-01-07 14:35:42,233,4
2026-01-07 14:35:42,234,4
2026-01-07 14:35:42,235,4
2026-01-07 14:35:42,236,4
2026-01-07 14:35:42,237,4
2026-01-07 14:35:42,238,4
2026-01-07 14:35:42,239,4
2026-01-07 14:35:42,241,4
2026-01-07 14:35:42,242,4
2026-01-07 14:35:42,243,4
2026-01-07 14:35:42,246,4
2026-01-07 14:35:42,247,4
2026-01-07 14:35:42,249,4
2026-01-07 14:35:42,251,4
2026-01-07 14:35:42,252,4
2026-01-07 14:35:42,253,4
2026-01-07 14:35:42,254,4
2026-01-07 14:35:42,255,1
2026-01-07 14:35:42,257,1
2026-01-07 14:35:42,258,4
2026-01-07 14:35:42,259,4
2026-01-07 14:35:42,260,4
2026-01-07 14:35:42,262,4
2026-01-07 14:35:42,267,4
2026-01-07 14:35:42,268,4
2026-01-07 14:35:42,269,4
2026-01-07 14:35:42,271,4
2026-01-07 14:35:42,272,4
2026-01-07 14:35:42,274,4
2026-01-07 14:35:42,276,1
2026-01-07 14:35:42,277,4
2026-01-07 14:35:42,278,4
2026-01-07 14:35:42,282,4
2026-01-07 14:35:42,283,4
2026-01-07 14:35:42,285,4
2026-01-07 14:35:42,286,4
2026-01-07 14:35:42,287,4
2026-01-07 14:35:42,290,1
2026-01-07 14:35:42,291,4
2026-01-07 14:35:42,295,4
2026-01-07 14:35:42,299,4
2026-01-07 14:35:42,301,4
2026-01-07 14:35:42,303,4
2026-01-07 14:35:42,304,4
2026-01-07 14:35:42,306,4
2026-01-07 14:35:42,307,4
2026-01-07 14:35:42,308,4
2026-01-07 14:35:42,309,4
2026-01-07 14:35:42,310,4
