timestamp,predicted_label,true_label,confidence,alert,severity
2026-01-06 07:25:50,DoS,DoS,0.975,YES,High
2026-01-06 07:25:50,U2R,U2R,1.0,YES,Critical
2026-01-06 07:25:50,R2L,R2L,0.99,YES,Medium
2026-01-06 07:25:50,R2L,R2L,1.0,YES,Medium
2026-01-06 07:25:50,DoS,DoS,1.0,YES,High
2026-01-06 07:25:50,R2L,R2L,1.0,YES,Medium
2026-01-06 07:25:50,R2L,R2L,1.0,YES,Medium
2026-01-06 07:25:50,R2L,R2L,1.0,YES,Medium
2026-01-06 07:25:50,U2R,U2R,1.0,YES,Critical
2026-01-06 07:25:50,Probe,Probe,0.99,YES,High
2026-01-06 07:25:50,R2L,R2L,1.0,YES,Medium
2026-01-06 07:25:50,U2R,U2R,1.0,YES,Critical
2026-01-06 07:25:50,R2L,R2L,1.0,YES,Medium
2026-01-06 07:25:50,Probe,Probe,1.0,YES,High
2026-01-06 07:25:50,Probe,Probe,1.0,YES,High
2026-01-06 07:25:50,Probe,Probe,1.0,YES,High
2026-01-06 07:25:50,Probe,Probe,1.0,YES,High
2026-01-06 07:25:50,U2R,U2R,1.0,YES,Critical
2026-01-06 07:25:50,Probe,Probe,1.0,YES,High
2026-01-06 07:25:50,DoS,DoS,1.0,YES,High
2026-01-06 07:25:50,Probe,Probe,1.0,YES,High
2026-01-06 07:25:50,DoS,DoS,1.0,YES,High
2026-01-06 07:25:50,Probe,Probe,1.0,YES,High
2026-01-06 07:25:50,U2R,U2R,1.0,YES,Critical
2026-01-06 07:25:50,U2R,U2R,1.0,YES,Critical
2026-01-06 07:25:50,Probe,Probe,1.0,YES,High
2026-01-06 07:25:50,U2R,U2R,1.0,YES,Critical
2026-01-06 07:25:50,R2L,R2L,1.0,YES,Medium
2026-01-06 07:25:50,Probe,Probe,1.0,YES,High
2026-01-06 07:25:50,R2L,R2L,1.0,YES,Medium
2026-01-06 07:25:50,R2L,R2L,1.0,YES,Medium
2026-01-06 07:25:50,Probe,Probe,1.0,YES,High
2026-01-06 07:25:50,U2R,U2R,1.0,YES,Critical
2026-01-06 07:25:51,R2L,R2L,1.0,YES,Medium
2026-01-06 07:25:51,U2R,U2R,0.99,YES,Critical
2026-01-06 07:25:51,R2L,R2L,1.0,YES,Medium
2026-01-06 07:25:51,Probe,Probe,1.0,YES,High
2026-01-06 07:25:51,DoS,DoS,1.0,YES,High
2026-01-06 07:25:51,U2R,U2R,1.0,YES,Critical
2026-01-06 07:25:51,R2L,R2L,1.0,YES,Medium
2026-01-06 07:25:51,R2L,R2L,1.0,YES,Medium
2026-01-06 07:25:51,Probe,Probe,1.0,YES,High
2026-01-06 07:25:51,DoS,DoS,1.0,YES,High
2026-01-06 07:25:51,U2R,U2R,1.0,YES,Critical
2026-01-06 07:25:51,R2L,R2L,1.0,YES,Medium
2026-01-06 07:25:51,DoS,DoS,1.0,YES,High
2026-01-06 07:25:51,R2L,R2L,1.0,YES,Medium
2026-01-06 07:25:51,Probe,Probe,1.0,YES,High
2026-01-06 07:25:51,U2R,U2R,1.0,YES,Critical
2026-01-06 07:25:51,DoS,DoS,1.0,YES,High
2026-01-06 07:25:51,R2L,R2L,1.0,YES,Medium
2026-01-06 07:25:51,R2L,R2L,0.999,YES,Medium
2026-01-06 07:25:51,U2R,U2R,1.0,YES,Critical
2026-01-06 07:25:51,U2R,U2R,1.0,YES,Critical
2026-01-06 07:25:51,R2L,R2L,1.0,YES,Medium
2026-01-06 07:25:51,DoS,DoS,1.0,YES,High
2026-01-06 07:25:51,DoS,DoS,1.0,YES,High
2026-01-06 07:25:51,Probe,Probe,1.0,YES,High
2026-01-06 07:25:51,U2R,U2R,1.0,YES,Critical
2026-01-06 07:25:51,R2L,R2L,1.0,YES,Medium
2026-01-06 07:25:51,U2R,U2R,1.0,YES,Critical
2026-01-06 07:25:51,DoS,DoS,1.0,YES,High
2026-01-06 07:25:51,U2R,U2R,1.0,YES,Critical
2026-01-06 07:25:51,R2L,R2L,0.995,YES,Medium
2026-01-06 07:25:51,U2R,U2R,1.0,YES,Critical
2026-01-06 07:25:51,DoS,DoS,1.0,YES,High
2026-01-06 07:25:51,Probe,Probe,1.0,YES,High
2026-01-06 07:25:51,U2R,U2R,1.0,YES,Critical
2026-01-06 07:25:51,R2L,R2L,1.0,YES,Medium
2026-01-06 07:25:51,U2R,U2R,1.0,YES,Critical
2026-01-06 07:25:51,Probe,Probe,1.0,YES,High
